20101287|1000002|1481195557|1483787557
20102102|1000003|1481195609|1483787609
20162489|1000016|1481248051|1483926451
20101287|1000040|1481257264|1483935664
20101761|1000041|1481257293|1483935693
20102102|1000042|1481257321|1483935721
20102136|1000044|1481257341|1483935741
20109285|1000045|1481257360|1483935760
20113354|1000046|1481257376|1483935776
20113354|1000047|1481257422|1483935822
20112771|1000058|1481257443|1483935843
20109285|1000048|1481257459|1483935859
20122643|1000050|1481257489|1483935889
20125931|1000051|1481257509|1483935909
20127562|1000053|1481257526|1483935926
20125931|1000054|1481257545|1483935945
20127562|1000055|1481257563|1483935963
20127562|1000057|1481257613|1483936013
20125213|1000060|1481257632|1483936032
20123091|1000062|1481257684|1483936084
20162489|1000097|1481257719|1483936119
